product_class_id,product_id,product_type_id,class_category_id1,class_category_id2,delivery_date_id,creator_id,product_code,stock,stock_unlimited,sale_limit,price01,price02,delivery_fee,create_date,update_date,del_flg
169,12,1,,,,1,i-ym314,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
170,11,1,,,,1,i-ym315,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
171,10,1,,,,1,i-ym316,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
172,9,1,,,,1,i-ym317,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
173,8,1,,,,1,i-ym318,,1,1,,5400,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
174,7,1,,,,1,i-ym319,,1,1,,5400,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
175,6,1,,,,1,i-ym320,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
176,5,1,,,,1,i-ym321,,1,1,,5400,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
177,4,1,,,,1,i-ym332,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
178,21,1,,,,1,i-ym314,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
179,20,1,,,,1,i-ym315,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
180,19,1,,,,1,i-ym316,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
181,18,1,,,,1,i-ym317,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
182,17,1,,,,1,i-ym318,,1,1,,5400,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
183,16,1,,,,1,i-ym319,,1,1,,5400,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
184,15,1,,,,1,i-ym320,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
185,14,1,,,,1,i-ym321,,1,1,,5400,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
186,13,1,,,,1,i-ym332,,1,1,,8640,0,"2017-03-14 20:09:01","2017-03-14 20:09:01",1
