product_id,column_id,value
2,4,正絹
123,4,tessst
257,4,正絹
263,4,正絹11
265,4,正絹
267,4,正絹
1429,4,
1430,4,
1431,4,
1432,4,
1433,4,
1434,4,
1435,4,
1436,4,
1437,4,
1438,4,
1439,4,
1440,4,
1441,4,
1442,4,
1443,4,
1444,4,
1445,4,
1446,4,
1447,4,
1448,4,
1449,4,
1450,4,
1451,4,
1452,4,
1453,4,
1454,4,
1455,4,
1456,4,
1457,4,
1458,4,
1459,4,
1460,4,
1461,4,
1462,4,
1463,4,
1464,4,
1465,4,
1466,4,
1467,4,
1468,4,
1469,4,
1470,4,
1471,4,
1472,4,
1473,4,
1474,4,
1475,4,
1476,4,
1477,4,
1478,4,
1479,4,
1480,4,
1481,4,
1482,4,
1483,4,
1484,4,
1485,4,
1486,4,
1487,4,
1488,4,
1489,4,
1490,4,
1491,4,
1492,4,
1493,4,
1494,4,
1495,4,
1496,4,
1497,4,
1498,4,
1499,4,
1500,4,
1501,4,
1502,4,
1503,4,
1504,4,
1505,4,
1506,4,
1507,4,
1508,4,
1509,4,
1510,4,
1511,4,
1512,4,
1513,4,
1514,4,
1515,4,
1516,4,
1517,4,
1518,4,
1519,4,
1521,4,
1522,4,
1523,4,
1524,4,
1525,4,
1594,4,正絹
1610,4,正絹
1965,4,木綿
1966,4,木綿
1967,4,木綿
1968,4,木綿
2273,4,正絹
2951,4,
2952,4,
2953,4,
2954,4,
2955,4,
2956,4,
2957,4,
2958,4,
2959,4,
2960,4,
2961,4,
2962,4,
2963,4,
2964,4,
2965,4,
2966,4,
2967,4,
2968,4,
2969,4,
2970,4,
3000,4,
3001,4,
3002,4,
3003,4,
3004,4,
3005,4,
3006,4,
3007,4,
3008,4,
3009,4,
3010,4,
3011,4,
3012,4,
3098,4,正絹
3453,4,正絹
3456,4,
3457,4,
3469,4,
3470,4,
3471,4,
3477,4,
3481,4,
3484,4,素材
3486,4,正絹
3491,4,正絹
3492,4,綿
3493,4,正絹
3494,4,正絹
3495,4,正絹
3496,4,正絹
3497,4,正絹11
3510,4,木綿
3511,4,木綿
3512,4,木綿
3513,4,
3515,4,
3516,4,
3517,4,
3518,4,
