product_stock_id,product_class_id,creator_id,stock,create_date,update_date
1,169,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
2,170,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
3,171,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
4,172,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
5,173,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
6,174,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
7,175,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
8,176,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
9,177,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
10,178,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
11,179,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
12,180,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
13,181,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
14,182,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
15,183,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
16,184,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
17,185,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
18,186,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
19,187,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
20,189,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
21,190,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
22,191,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
23,192,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
24,193,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
25,194,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
26,195,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
27,196,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
28,197,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
29,198,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
30,199,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
31,200,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
32,201,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
33,202,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
34,203,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
35,204,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
36,205,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
37,206,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
38,207,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
39,208,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
40,209,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
41,210,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
42,211,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
43,212,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
44,213,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
45,214,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
46,215,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
47,216,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
48,217,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
49,218,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
50,219,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
51,220,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
52,221,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
53,222,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
54,223,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
55,224,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
56,225,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
57,226,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
58,227,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
59,228,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
60,229,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
61,230,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
62,231,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
63,232,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
64,233,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
65,234,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
66,235,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
67,236,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
68,237,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
69,238,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
70,239,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
71,240,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
72,241,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
73,242,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
74,243,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
75,244,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
76,245,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
77,246,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
78,247,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
79,248,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
80,249,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
81,250,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
82,251,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
83,252,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
84,253,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
85,254,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
86,255,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
87,256,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
88,257,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
89,258,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
90,259,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
91,260,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
92,261,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
93,262,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
94,263,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
95,264,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
96,265,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
97,266,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
98,267,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
99,268,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
100,269,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
101,270,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
102,271,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
103,272,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
104,273,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
105,274,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
106,275,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
107,276,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
108,277,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
109,278,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
110,279,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
111,280,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
112,281,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
113,282,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
114,283,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
115,284,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
116,285,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
117,286,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
118,287,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
119,288,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
120,289,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
121,290,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
122,291,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
123,292,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
124,293,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
125,294,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
126,295,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
127,296,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
128,297,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
129,298,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
130,299,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
131,300,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
132,301,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
133,302,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
134,303,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
135,304,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
136,305,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
137,306,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
138,307,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
139,308,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
140,309,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
141,310,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
142,311,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
143,312,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
144,313,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
145,314,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
146,315,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
147,316,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
148,317,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
149,318,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
150,319,1,,"2017-03-14 20:09:19","2017-03-14 20:09:19"
